Time          F_x          F_y          F_z
6.5500e-01  4.2904e+01  1.5291e+01  0.0000e+00
6.6000e-01  4.2442e+01  -1.8610e+00  0.0000e+00
6.6500e-01  4.2700e+01  5.4276e+00  0.0000e+00
6.7000e-01  4.2846e+01  1.2896e+01  0.0000e+00
6.7500e-01  4.2149e+01  -9.5625e+00  0.0000e+00
6.8000e-01  4.3293e+01  2.3896e+01  0.0000e+00
6.8500e-01  4.1988e+01  -1.3068e+01  0.0000e+00
6.9000e-01  4.3200e+01  1.8580e+01  0.0000e+00
6.9500e-01  4.2333e+01  -3.8128e-01  0.0000e+00
7.0000e-01  4.2711e+01  2.3303e+00  0.0000e+00
7.0500e-01  4.2862e+01  1.4096e+01  0.0000e+00
7.1000e-01  4.2421e+01  -6.1630e+00  0.0000e+00
7.1500e-01  4.3126e+01  1.3787e+01  0.0000e+00
7.2000e-01  4.2593e+01  2.0250e+00  0.0000e+00
7.2500e-01  4.2704e+01  1.4246e+00  0.0000e+00
7.3000e-01  4.2895e+01  1.4170e+01  0.0000e+00
7.3500e-01  4.2429e+01  -5.9772e+00  0.0000e+00
7.4000e-01  4.3047e+01  1.4086e+01  0.0000e+00
7.4500e-01  4.2665e+01  1.9573e+00  0.0000e+00
7.5000e-01  4.2654e+01  8.8790e-01  0.0000e+00
7.5500e-01  4.3144e+01  1.6674e+01  0.0000e+00
7.6000e-01  4.2263e+01  -1.1338e+01  0.0000e+00
7.6500e-01  4.3308e+01  2.2601e+01  0.0000e+00
7.7000e-01  4.2093e+01  -8.9647e+00  0.0000e+00
7.7500e-01  4.3002e+01  1.2859e+01  0.0000e+00
7.8000e-01  4.2541e+01  4.8691e+00  0.0000e+00
7.8500e-01  4.2576e+01  -6.4747e-01  0.0000e+00
7.9000e-01  4.2912e+01  1.2822e+01  0.0000e+00
7.9500e-01  4.2485e+01  -1.4476e+00  0.0000e+00
8.0000e-01  4.2793e+01  6.7557e+00  0.0000e+00
8.0500e-01  4.2772e+01  9.4007e+00  0.0000e+00
8.1000e-01  4.2485e+01  -4.9846e+00  0.0000e+00
8.1500e-01  4.3121e+01  1.7113e+01  0.0000e+00
8.2000e-01  4.2328e+01  -6.2945e+00  0.0000e+00
8.2500e-01  4.3010e+01  1.0932e+01  0.0000e+00
8.3000e-01  4.2748e+01  5.4834e+00  0.0000e+00
8.3500e-01  4.2619e+01  -3.6855e+00  0.0000e+00
8.4000e-01  4.3145e+01  1.8490e+01  0.0000e+00
8.4500e-01  4.2218e+01  -1.0964e+01  0.0000e+00
8.5000e-01  4.3107e+01  1.8219e+01  0.0000e+00
8.5500e-01  4.2338e+01  -3.5801e+00  0.0000e+00
8.6000e-01  4.2790e+01  6.1276e+00  0.0000e+00
8.6500e-01  4.2795e+01  8.6391e+00  0.0000e+00
8.7000e-01  4.2491e+01  -1.9859e+00  0.0000e+00
8.7500e-01  4.2851e+01  9.7782e+00  0.0000e+00
8.8000e-01  4.2501e+01  3.6261e+00  0.0000e+00
8.8500e-01  4.2489e+01  -6.5944e-01  0.0000e+00
8.9000e-01  4.2847e+01  1.4770e+01  0.0000e+00
8.9500e-01  4.2064e+01  -9.0869e+00  0.0000e+00
9.0000e-01  4.2988e+01  1.7310e+01  0.0000e+00
9.0500e-01  4.2229e+01  -4.9690e+00  0.0000e+00
9.1000e-01  4.2815e+01  6.4343e+00  0.0000e+00
9.1500e-01  4.2627e+01  9.0816e+00  0.0000e+00
9.2000e-01  4.2344e+01  -6.4707e+00  0.0000e+00
9.2500e-01  4.2953e+01  1.7080e+01  0.0000e+00
9.3000e-01  4.2289e+01  -7.5986e+00  0.0000e+00
9.3500e-01  4.2845e+01  1.1001e+01  0.0000e+00
9.4000e-01  4.2564e+01  2.4577e+00  0.0000e+00
9.4500e-01  4.2470e+01  1.9792e-01  0.0000e+00
9.5000e-01  4.2865e+01  9.9675e+00  0.0000e+00
9.5500e-01  4.2375e+01  -1.2474e+00  0.0000e+00
9.6000e-01  4.2685e+01  4.7522e+00  0.0000e+00
9.6500e-01  4.2595e+01  8.6153e+00  0.0000e+00
9.7000e-01  4.2188e+01  -6.5550e+00  0.0000e+00
9.7500e-01  4.2889e+01  1.7666e+01  0.0000e+00
9.8000e-01  4.2021e+01  -1.0737e+01  0.0000e+00
9.8500e-01  4.3004e+01  1.4766e+01  0.0000e+00
9.9000e-01  4.2256e+01  -1.7464e+00  0.0000e+00
9.9500e-01  4.2554e+01  2.1465e+00  0.0000e+00
1.0000e+00  4.2617e+01  1.0387e+01  0.0000e+00
1.0050e+00  4.2218e+01  -6.6150e+00  0.0000e+00
1.0100e+00  4.2728e+01  1.2510e+01  0.0000e+00
1.0150e+00  4.2297e+01  -2.4194e+00  0.0000e+00
1.0200e+00  4.2555e+01  3.7176e+00  0.0000e+00
1.0250e+00  4.2676e+01  6.9674e+00  0.0000e+00
1.0300e+00  4.2336e+01  -3.3375e+00  0.0000e+00
1.0350e+00  4.2864e+01  8.7187e+00  0.0000e+00
1.0400e+00  4.2444e+01  8.0075e-01  0.0000e+00
1.0450e+00  4.2498e+01  -3.9988e-01  0.0000e+00
1.0500e+00  4.2819e+01  1.1817e+01  0.0000e+00
1.0550e+00  4.2195e+01  -1.0506e+01  0.0000e+00
1.0600e+00  4.3054e+01  1.7117e+01  0.0000e+00
1.0650e+00  4.2082e+01  -9.8401e+00  0.0000e+00
1.0700e+00  4.2830e+01  1.0379e+01  0.0000e+00
1.0750e+00  4.2414e+01  9.2258e-01  0.0000e+00
1.0800e+00  4.2422e+01  -1.3845e+00  0.0000e+00
1.0850e+00  4.2666e+01  9.2518e+00  0.0000e+00
1.0900e+00  4.2129e+01  -4.4629e+00  0.0000e+00
1.0950e+00  4.2627e+01  6.1668e+00  0.0000e+00
1.1000e+00  4.2423e+01  2.6332e+00  0.0000e+00
1.1050e+00  4.2421e+01  -2.6316e+00  0.0000e+00
