Time          F_x          F_y          F_z
2.1600e+00  1.5685e+00  8.3124e-01  0.0000e+00
2.1700e+00  1.5572e+00  9.4620e-02  0.0000e+00
2.1800e+00  1.5918e+00  -7.1416e-01  0.0000e+00
2.1900e+00  1.6511e+00  -1.4560e+00  0.0000e+00
2.2000e+00  1.6911e+00  -1.9089e+00  0.0000e+00
2.2100e+00  1.6746e+00  -1.9368e+00  0.0000e+00
2.2200e+00  1.6114e+00  -1.6107e+00  0.0000e+00
2.2300e+00  1.5413e+00  -1.0793e+00  0.0000e+00
2.2400e+00  1.5036e+00  -4.6784e-01  0.0000e+00
2.2500e+00  1.5102e+00  1.7107e-01  0.0000e+00
2.2600e+00  1.5443e+00  8.1966e-01  0.0000e+00
2.2700e+00  1.5789e+00  1.4198e+00  0.0000e+00
2.2800e+00  1.5880e+00  1.7624e+00  0.0000e+00
2.2900e+00  1.5651e+00  1.7511e+00  0.0000e+00
2.3000e+00  1.5361e+00  1.3851e+00  0.0000e+00
2.3100e+00  1.5459e+00  7.2816e-01  0.0000e+00
2.3200e+00  1.6247e+00  -1.1762e-01  0.0000e+00
2.3300e+00  1.7266e+00  -8.4545e-01  0.0000e+00
2.3400e+00  1.7519e+00  -1.1782e+00  0.0000e+00
2.3500e+00  1.7033e+00  -1.0691e+00  0.0000e+00
2.3600e+00  1.6241e+00  -6.8213e-01  0.0000e+00
2.3700e+00  1.5543e+00  -2.5239e-01  0.0000e+00
2.3800e+00  1.5106e+00  1.8432e-01  0.0000e+00
2.3900e+00  1.5088e+00  7.4464e-01  0.0000e+00
2.4000e+00  1.5687e+00  1.5462e+00  0.0000e+00
2.4100e+00  1.7039e+00  2.4777e+00  0.0000e+00
2.4200e+00  1.8587e+00  3.2034e+00  0.0000e+00
2.4300e+00  1.9193e+00  3.3591e+00  0.0000e+00
2.4400e+00  1.8602e+00  2.9775e+00  0.0000e+00
2.4500e+00  1.7513e+00  2.3477e+00  0.0000e+00
2.4600e+00  1.6537e+00  1.7106e+00  0.0000e+00
2.4700e+00  1.5905e+00  1.0685e+00  0.0000e+00
2.4800e+00  1.5684e+00  3.3143e-01  0.0000e+00
2.4900e+00  1.5875e+00  -4.7744e-01  0.0000e+00
2.5000e+00  1.6318e+00  -1.2143e+00  0.0000e+00
2.5100e+00  1.6566e+00  -1.6283e+00  0.0000e+00
2.5200e+00  1.6296e+00  -1.6121e+00  0.0000e+00
